,Tweet
95," السلام عليكم
تحولت الحاله الصحيه  من محصن اكمل الجرعات لغير محصن فجأه بعد تجديد الاقامه وتم التواص                         "
96, طيب ردوا لو سمحتم
97, لقد تم التواصل مع رقم الصحة ٩٣٧ لأكثر من ١٠ مرات ورفع بلاغات  ولم استفيد وتم ارسال ايميل ولم تحل م                         
98,  السلام عليكم  بما انه تم تخفيف اجراءات كرونا  رسميا  اقترح الغاء شرط تشغيل  التتبع  بال       من                         
99,                            افضل حل منع صلاحية الموقع الجغرافي لان برمجة التطبيق سيئة، المفترض يتم                         
100,"                                                          😃

             "
101, تم الإرسال ع الخاص ارجو الرد
102,           ادخل على البوابة الخارجية من جديد اذا تمت الموافقة يظهر لك رسالة بأنه تم اعتمادها
103," 
متى تتحول الحالة الى حجر منزلي ؟ عند الوصول مباشرة ؟"
104,              وصلت مرفوضه وسجلت مره اخرى
105,          هل وصلك رسالة اعتماد الجرعات من الصحة
106,                  هل وصلك رسالة اعتماد اللقاح
107, رد تكفى
108,             أنا كنت متلك ماتقلق أنا تغيرت عندى الحالة لمحصن اليوم وانا جتني موافقة باعتماد اللقاح من يوم ٦ ١٠
109, اقدر افتح توكلنا على جهازين وكلها لي بنفس الوقت ؟
110, ارسلت لكم
111,  السلام عليكم  ابغا اغير رقم الجوال لانه ملغي  وكلمتهم عبر الرقم الموحد وقالو لي طريقتين ماقبلت مع                         
112,                رجاء تابعو مع الموظفين لانو خدمة العمله غير متعاونه ابداا
113,                اتواصلت مع الصحه حوالي اكثر من مرره وقالولي رفعو  بلاغ وانتو رديتو عليه بانو سوف نغ                         
114, الله يسعدك شف لي حل
115,           ماهي الجهات الأخرى ؟ الرجاء تحديدها
116," انا خارج المملكة متواجد بمصر
و اللقاح أخذته بمصر جونسون
هل في ايميل للتواصل"
117, وين الرد ؟؟؟؟ تسولفون بالعام وبس مافيه اي رد ولا اي احساس     عطوني رقم شكاوي ابي احد يحل مشكلتي ابي حل فعلي
118,"               يا توكلنا 
صلح عندي وطلع محصن وبكره وقت حجزي للسفر رجع لي غير محصن ؟؟؟؟؟
وش الحل وال                         "
119,"                  يا توكلنا 
صلح عندي وطلع محصن وبكره وقت حجزي للسفر رجع لي غير محصن ؟؟؟؟؟
وش الحل                         "
120," يا توكلنا 
صلح عندي وطلع محصن وبكره وقت حجزي للسفر رجع لي غير محصن ؟؟؟؟؟
وش الحل والله جبتوا لي ال                         "
121,"              يا توكلنا 
صلح عندي وطلع محصن وبكره وقت حجزي للسفر رجع لي غير محصن ؟؟؟؟؟
وش الحل والل                         "
122,                جزاكم الله خيرا
123,"
السلام عليكم حاولت اعرف الرقم من ابشر لكن يطلع رساله ان الرقم مسجل في ابشر مسبقا    ارجو الافاده"
124,                        تم ايقاف الخط نهائيا واريد فتح حساب جديد فى توكلنا بغرض السفر هذا الاسبوع
125,                تم ايقافى الخط نهائيا واريد فتح حساب جديد ف توكلنا بغزض السفر هذا الاسبوع
126,            واللي أخذ جرعتين بالهند هل يسمح له العودة للسعودية
127,                              يرجى الرد ع الخاص
128," السلام عليكم ورحمة الله وبركاته 
لدي خطاء في رخصة السير المركبة والان لي سنه ولم تحل المشكله حيث ا                         "
129, السلام عليكم  ممكن طريقة تغيير  رقم الجوال
130,
131,                العفو يالغالي
132,                                          
133,"              مساء الخير اخوي لو سمحت بحجز موعد لزوجتي الجرعه الثانية وماقدرت 
والله يعطيك العافيه وش الطريقه"
134,                                                                                                                            
135, اتمنى توضيح اكثر اخوي 🙏🏻❤️
136, اتمنى الرد على الخاص
137, تم
138," السلام عليكم ورحمة الله وبركاته
رفعت اللقاح الخاص بي للاعتماد خارج المملكة على البوابة الرئيسية لو                         "
139, السلام عليكم احاول احجز لقاح  لعاملة عندي من توكلنا لاكن يرفض 
140, ياجماعة تعبت وانا بنشرح كل ما اراسلكن تطلبو تفسير وشرح بنشرح بتردو الصحة مسؤولة بنروح للصحة يقولة                         
141," مرحبا
حجزت موعد لأخذ لقاح كورونا يوم الاثنين القادم
حاولت اغير موعد اخذ اللقاح لكن يتعذر التعديل من تطبيق توكلنا

مالحل؟"
142," شغال الان 
 ️ مكتب العمل والجوازات
 ️ تعديل جميع المهن
 ️ انجاز منصة قوى استخراج تاشيرات
 ️ تصفير الغرامات💯
 ️ نقل                         "
143," 
هل الحجر المنزلي للعائد الى المملكه شامل جميع الدول ، ام هناك استثنائات ؟"
144,           مشكورين وقواكم الله
145," أرسلت الرسالة ل الصحة    
ولم يتم الرد"
146,"        وعليكم السلام ورحمة الله وبركاته
المكتوب على توكلنا كما هو محصن واكمل جرعات لقاح كورونا
الت                         "
147, تم الارسال   شكرا للاهتمام بالرد
148, السلام عليكم يا اخوان أنا حجزت لقاح كورونا الجرعة المعززة ودي اعرف وش راح تكون الحالة الصحية بعد م                         
149, أنا ماخذ جرعتين في السودان باللقاح سينوفارم هل علي أن آخذ جرعات أخري في المملكة ولا الأول يكفي؟
150, السلام عليكم   اخذت الجرعه الثانيه منذ ٦ ٩ ٢٠١٢ وتم تسجيلهم بالجواز الصحي   لكن علي توكلنا مسجل                           
151, امي قدمت زيارة للمملكة و أتمت التحصين داخل المملكة ثم قدمت زيارة اخري و لكن توكلنا بنفس رقم الحدود                         
152,"         
                
          
        
"
153, شكرا لكم تم ضبطت معي
154, ماهي طريقه اعاده تسجيل كمستخدم جديد لو سمحت
155,"                المشكلة ليست من وزارة الصحة انما المشكلة لديكم 
صفحة لقاح كرونا تظهر فيها انني اخذت                         "
156,                                                                                              
157," السلام عليكم ورحمة الله وبركاته

كنت أعمل طبيبه بالمملكه وحصلت علي جرعتي التحصين وكان رقم اقامتي                           "
158,                                                                            '                                               
159,"             
لوقته مشكلتي معلقة 
بين توكلنا ومركز ٩٣٧
 ايام طلبي من تحويل الحالة من مستثنى الى محصن ولاسيما بعد اك                         "
160, إشارة للبلاغ رقم        تظهر تواريخ تلقي الجرعتين في الجواز الصحي ولكن الحالة لا زالت غير محصن   
161,            هل تعدل معاك ولا باقي
162, تم ربط اللقاح عبر بوابه التطعيمات  الخارجيه وتم اعتماده لكم من يوم الاثنين الفائت لن تربط البينات مع توكلنا
163," 

شكرا لتطبيق توكلنا على سرعة الرد والاستجابة والرد ع الاسئلة في الوقت المناسب 

استفساري كان هل ي                         "
164,"

         
السلام عليكم ورحمة الله وبركاته
أخذت لقاح جونسون
وجت الشهادة
وارسلت على البوابة الخارجي                         "
165,                المشكله وزراة الصحه لم توضح لنا ما سبب الاشكاليه كل موظف يحاول بقدر المستطاع انهاء                         
166,                                   كلنا نفس المشكله ، لكن تذاكر حفل ميدل بست هل تربط بتوكلنا ولا لا ؟
167,                                           عزيزنا، نفيدك بأنه قد تم رفض طلبك باعتماد تطعيم كوفيد                            
168,                                           السلام عليكم عندي سايق خاص اخذ الجرعه الاولى فايزر في سي                         
169, حاولت احجز الجرعة الثانية و يطلع لي عذرا حدث خطا ما الرجاء المحاولة لاحقا
170, هل من الممكن دخول المملكه مباشر ولا عن طريق  ترنزيت ١٥ يوم
171, اش طلبات لحجز موعد وهل لحجز عبر تطبيق أو اروح لمركز
172, السلام عليكم ورحمه الله وبركاته محصن جرعه في المملكه وجرعه في مصر ورفعت الجرعه علي توكلنا واظهر مح                         
173,"             السلام عليكم
ارجو حل مشكلتي 
رفعت شهادة القاح من اليمن  لاعتمادها في وزارة الصحة وتمت                         "
174,              السلام عليكم عندي قريبه عمرها ١٢ سنه وجيت بصدر لها تصريح عمره واضفتها مع المرافقين عن                         
175,             عندي مشكله علي توكلنا نوع اللقاح غلط وتواصلت مع وزاره الصحه اعطوني رقم مرجع اللقاح وقا                         
176,                            ارسلت لكم علي الخاص عندي مشكله
177, سلام عليكم في حال تغيير الاسم الاول لمواطن توكلنا من الاحوال المدنية هل يتعدل في الجواز الصحي
178,           وأما نفس المشكلة، العامل رفع الطلب في البوابة الخارجية له أكثر من ١٠ أيام وحتى الآن ما ج                         
179," 
         "
180, ياخوي من ساعة احاول اوصل انه المشكلة في التحديث ماتم نزول بينات التحصين علي الخاص وكل شوية رسالة ب                         
181,                اتصلت عليهم اكثر من  مره ويرفعون لي طلب ويتم اغلاقه دون تحل مشكلتي
182," 

أستفسار عن الجرعة الثالثة ومن هم مستحقيها ؟

نأمل منكم التجاوب على سؤالي   "
183, ارجوكم سرعة حل المشكلة امس مريضه وتتابع في المستشفي ولديها موعد الاثنين القادم ولن نستطيع الدخول ب                         
184, معليش ترجع تشوف الخاص
185, ارجو الرد ع الخاص
186, محصن بالمملكه ورقم الجوال مكسور ولا يعمل ايه الحل وانا الان في مصر
187," 
أرجو الرد على الخاص"
188," 
سلام عليكم انا جيت من السودان بإقامة وماخض لقاح جونسون باعتباره محصن وعندما حملت تطبيق توكلنا ظهر                         "
189, ردو خاص
190, السلام عليكم ورحمة الله وبركاته جتني رسالة حاجزيلي موعد بمركز صحي في مستشفى الملك عبدالعزيز الساعة                         
191, تواصلت خاص  بانتظار الرد 
192, تم الموافقه علا اعتمادد القاح من خارج المملكه ولم يضهر محصن في توكلنا وتم تصعيد بلاغ الا الصحه ايميل كم مده يحتاج عمل
193,  السلام  ممكن تردون على الخاص
194, السلام عليكم ورحمة الله وبركاته لو سمحت حل الاشكاليه الخاصه بي حيث ان اتواصل من ٦٦ايوم معاكم ومع و                         
195,                لا يمككني اعاده جدولة موعد اللقاح ، هل هي مشكلة فنيه مؤقته؟
196, السلام عليكم   زوجة مقيم محصن قادمه من الأردن تأشيرة إستقدام  برفقة  زوجها المقيم المحصن أما هي فل                         
197, بانتظار الرد
198," 

السلام عليكم  تظهر لنا هذه الصورة عند حجز موعد جرعة ثانية ما السبب                        "
199, اليوم ظهرت نتيجة فحص     للعاملة المسافرة غداً السبت  ولا يوجد نتيجة فحص في توكلنا ولا الجواز الصحي  هل في ذلك مشكله؟
200, ارسلت ولا رديتو
201, سفر عامله ليست مرافقه لها برحلتها
202, مرحباً ااذا تكرمتو تم اضافة شخص معي بتوكلنا غير تابع للعائله واكتشفت انه اياً مف معي بابشر ممكن اعرف ليش وكيف نحذفه من عندي
203, شكرا لكم ❤
204, السلام عليكم  بالنسبه للعامله اخذت جرعتين فايزر   وبعد بكره رحلتها  علما لايوجد معها جوال هل لامان                         
205,                االسلام عليكم  بغيت احجز الجرعه الاولى للخادمة طلع لي عفوا تعذر اتمام الطلب ايش الحل
206, شكرا لتعاونكم
207,ممتاز 
208," السلام عليكم
تم اعتماد لقاح من خارج المملكه في
وزارة الصحه السعوديه لكن ما تفعل
في توكلنا نروجو التفعيل وشكرا"
209," الحين ليش اذا ربطت تذكره بتوكلنا تجي لابوي اني شريت؟
مع العلم اني مستقل ومب تابع له بالاحوال؟"
210,                                                              ?
211,  السلام عليكم    لو سمحت عندي العامله فلبينية ظاهر لها بتوكلنا حجر مؤسسي هي صار لها اربع ايام من ا                         
212,"فيه شخص قاعد يزور لازم تردون عليه وتقبضون عليه وتحاسبونه  
                                  
 
              "
213," يرجي تحديث الحاله الصحيه
اخدت الجرعات داخل المملكه وتظهر الجرعات علي تطبيق صحتي ولكن علي توكلنا غي                         "
214, السلام عليكم عندي مشكلة داخلة علي تلاتة شهور فتوكلنا ولم تحل طلعلي غير محصن وانا واخدا جرعتين وكل                         
215, يرجي الرد علي الرسائل الخاصه
216,              هل استطيع تغيير موعد القاح لمركز اخر
217,"السلام عليكم ورحمة الله وبركاته 

هل دخول الحرم يحتاج تصريح ولا توكلنا فقط 

"
218,              تم حجز موعد لقاح من قبل توكلنا كيف استطيع اعرف المركز الذي تم حجز الموعد به
219," السلام عليكم
اخوي عند عامل هندي برا السعوديه  
اخذ جرعتين لقاح كورونا بالهند واضفنا الشهايد لدى وز                         "
220,                يطلع لي كذا ايش الحل   ؟                        
221, تسلم ربي يحفظكم
222, بانتظار الرد                        
223, ما رديتوا علي الا بسؤال اضافي، للاسف وضحت لكم اجابة السؤال في سؤالي، ارجو الرد وحل المشكلة رجاء
224,              هل استطيع دخول التطبيق بدون التبرع بالأعضاء                        
225, لدي بلاغ منذ شهرين لم يتم حله     هل انتم تعالجون البلاغات ام تعلقونها ؟ 
226," السلام عليكم ورحمة الله وبركاته 
انا مصري وجيت في٢٤ ٨ ٢٠٢١م
ومعي جرعتين ونزلتهم علي برنامجكم هنا ب                         "
227,                ما هو الحل للعوده اللي يحصل حادث ولا شيء لا يوجد طريقة للعوده
228, لو سمحت انا ولدي طلع مصاب وندخل بتوكلنا كل شوي يطلع لنا مصاب وعقب لم يثبت إصابته
229, اهلا حدثته ونفس المشكلة حذفت التطبيق وحملته ونفس المشكله                        
230, السادة الكرام لقد تواصلت مع الوزارة بكل الطرق والى الآن لم يتم حل المشكلة   
231, بعد تحديث البرنامج ظهر لي غير محصن وتواصلت كثيراً مع توكلنا بالتلفون دون فايدة ارجو حل موضوعي علما                         
232,                يعني اعيد الاولى؟
233,"
السلام عليكم ورحمة الله وبركاته
عندي مقيم تم اعتماد اللقاح من الصحة قبل أكثر من ١٠ أيام ولم يتم تع                         "
234,                طيب وش الحل يعني لازم اعيد الجرعه الاولى من جديد، اطعمها رغم اني مطعمتها، فقط لإن ف                         
235, ندخل مع فحص فقط ؟
236, السلام عليكم عندي اهل اخذو الجرعه الثانيه ومسجل غير مصاب مع العلم انها زياره
237, نحن خارج المملكة وتواصلنا مع الصحة ولم يتم افادتنا بأي شيء
238, للاسف الرد غير مفيد وليس له علاقة بالمشكلة
239, تم التواصل معكم دون رد
240, السلام عليكم ارسلت رسالة بالخاص بخصوص تحديث الحالة لاحد الابناء اكمل ١٤ يوم الجرعه الاولى
241, كيف يتم ربط لقاح كورونا الثاني الي تطبيق توكلنا علما بأن اللقاح الثاني في اليمن
242, بيانات التحصين مرسله وواصله توكلنا وموجودة في الجواز الصحي وانا تواصلت مع وزارة الصحه قالو انه يلزم تحديث بيانات من عندكم
243, ممكن تردون عالخاص
244, للاسف لحد الان لم يتم حل المشكلة رغم انه تم التواصل علي الخاص
245, السلام عليكم عندي مشكله مع البرنامج يرفض قبول الهوية الاماراتية و ابغي اعرف شو المطلوب الى الدخول                         
246, من هي الجهة المختصة
247, بعد القرارت الأخيرة بخصوص إلغاء التباعد هل لابد من حجز موعد للعمرة
248,  كيف ربط لقاح كورونا في تطبيق توكلنا مع العلم ان تم اخذ الجرعه الثانيه من اليمن
249, الووو
250,              مرحبا بك عزيزي ، بيانات التحصين ترسل من وزارة الصحة وتظهر في توكلنا، فضلا التواصل مع                         
251, دخلت خاص وفي انتظاركم
252,"هل   المستثنى   من لقاح كورونا بإستطاعته السفر داخل وخارج المملكة ؟ 
علماً بأنه مُثبت ذلك بتقرير طبي وأيضاً في تطبي                         "
253,"              
  ما هي حالة شكواي؟  انقضاء أكثر من    أيام منذ استلام موافقة وزارة الصحة على التطعي                         "
254, السلام عليكم في حال قدوم احد الوافدين بفيزة زياره وتم اخد اللقاح جرعتين في بلده ولم تظهر بتطبيق تو                         
255, ارجو الرد ع الخاص
256," 
انا مسافر برا المملكة 
وفحص كورونا في مختبرات وزارة الصحه           غير معترف فيه
صارت لي مشاكل ك                         "
257,                                ?
258, السلام عليكم لو تكرمت زوجتي زياره عائليه ومعانا شهاده معتمده    من مصر انها حاصله علي جرعه واحده م                         
259,            قسم انهم كفو 🌹👍
260,                                              ?
261,                                 نفس السؤال وش حصل معك؟
262,"             شغال الان 
 ️ مكتب العمل والجوازات
 ️ تعديل جميع المهن
 ️ انجاز منصة قوى استخراج تاشير                         "
263, طيب انتم مش عايزين تحلو المشكله ٦٦اتواصل ولاجديد
264, في    أكتوبر تم تطعيم الخادمة ولم يظهر في التطبيق حيث ما زالت الحالة حجز موعد
265, السلام عليكم ،، احاول اغير موعد حجزي للجرعة الثالثه من ثلاث ايام ولم اتمكن  كل مره يظهر لي مسج عذر                         
266,            وفي حال ما أخذت الجرعة الثالثة واكتفيت بثنتين   وش راح يظهر
267, اشكركم على سرعة الرد ربي يوفقكم 🤍
268, ده رد وزاره الصحه علي الايميل ايه المشكله                        
269,  السلام عليكم ،، كيف اربط تذكره في توكلنا   ؟
270, ارجو الرد على الخاص للضرورة
271, طيب وين القى رمز توكلنا حق الشخص الاخر؟؟؟
272,                                                                           
273, رجاء حل الاشكاليه ٦٦اتواصل ولاجديد وزاره الصحه تقول توكلنا وتوكلنا يقول وزاره الصحه مش عارف اتواصل                         
274, اخوي انا يرفض حجز اللقاح ليش؟
275," أنا أخذت الجرعه برقم الحدود و وزارة الصحه قالوا ما عندهم دخل بالجرعات برقم الحدود

رجاءً سووا غرفه                         "
276," 
لا يسعني الا ان اشكر جميع القائمين على هذا التطبيق الذي نظم جميع أمور حياتنا ، كما اشكر فريق خدمة                         "
277,                          سبق وتواصلت معكم عبر الرسائل وكان ردكم تواصلي مع وزارة الصحة 😅 تواصلت معه                         
278, شكرا لسرعه ردكم لكن كيف بيقدر يثبت حالته الصحية و هو غير قادر يفتح توكلنا
279, سلام عليكم  عندي ولد عمي في اليمن تم أخذ جرعتين وقدمنا طلب اعتماد لقاح وتمت الموافقه لكن يطلع في توكلنا غير محصن وش الحل؟
280, انا خارج المملكه في عُمان
281,                          السلام عليكم، من ٢٠ يوم وانا اتواصل يوميا بخصوص هذا الموضوع وزارة الصحة ي                         
282, مساء الخير    لو تكرمتم هل مسموح جلوس الاطفال مع اهلهم في التوسعة
283, أرسلت لكم وأنتظر الرد
284, كلما حاولت التسجيل ماتروح الصور كيف العمل
285,"   
سؤال للضروره لى صديق 
 محصن بجرعتين من خارج المملكه   ومسجل علي تطبيق توكلنا الحاله محصن بجرعتي                         "
286, سويت تحديث ومسحت البرنامج وحملته نفس الحاله
287, رسلت الخاص م تردون
288,
289, السلام عليكم، عندي الوالد والوالدة حاولنا نغير مواعيدهم ولا قدرنا يقول حدث خطأ الرجاء المحاولة لاح                         
290," السلام عليكم
عندي تذاكر لفعالية رش اليوم
لا يوجد عندي خيار اسناد لكي اسندها لأولادي
ماهو الحل                        "
291, الساده في                   ما زالت المشكله قائمه
292, تم
293, الله يعافيك امس طلعنا للبحرين عن طريق الجسر ولمن جينا نرجع اليوم بنتي عنرها سنه ونص تغير حالتها ال                         
294,            وانا نفس الحكايه حطولي موعد وماقدرت اروح عليه ولما بغيت احجز موعد جديد قلي عذرا حدث خطا ما ؟؟
295,               انا وضحة لهم المشكله بالتفصيل وبارفاق صور للمشكله وانا بصراحه اقول ان وزارة الصحه كل                         
296, التطبيق لا يسمح لي بتغيير موعد الجرعة الثالثة لأفراد العائلة، كذلك لا يسمح لي بعمل موعد للعاملة ال                         
297,                              كذاب
298," السلام عليكم
كيف أقدر أعيد جدولة الجرعة الثانية في مدينة أخرى ، لأن المراكز اللي تظهر كلها في عسير                         "
